Région,Département,cp_ville,Gazole_prix,SP95_prix,E85_prix,GPLc_prix,E10_prix,SP98_prix,geom
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6300 Nice,1.99,,,,1.99,1.99,"43.715, 7.287"
Hauts-de-France,Pas-de-Calais,62300 Lens,1.99,,0.994,,1.949,1.99,"50.435, 2.841"
Pays de la Loire,Loire-Atlantique,44340 Bouguenais,1.989,,1.081,,1.965,2.027,"47.167798235098005, -1.643306355934"
Île-de-France,Yvelines,78660 Prunay-en-Yvelines,1.973,,,,1.89,1.99,"48.57069, 1.8318"
Bourgogne-Franche-Comté,Doubs,25400 Audincourt,1.925,1.897,,,1.834,1.912,"47.48631, 6.84373"
Grand Est,Vosges,88290 Saulxures-sur-Moselotte,1.99,,,,1.979,1.99,"47.952, 6.817"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13200 Arles,1.893,,,,1.822,1.967,"43.7, 4.642"
Auvergne-Rhône-Alpes,Rhône,69290 Grézieu-la-Varenne,1.877,1.848,,,1.806,1.925,"45.741, 4.692"
Auvergne-Rhône-Alpes,Haute-Savoie,74940 Annecy,1.979,,,,,1.999,"45.90996, 6.14922"
Normandie,Manche,50140 Mortain-Bocage,1.965,1.98,,,,1.995,"48.655, -0.937"
Île-de-France,Hauts-de-Seine,92000 Nanterre,1.967,,,,1.921,1.99,"48.88327, 2.2039052"
Auvergne-Rhône-Alpes,Isère,38090 Villefontaine,1.94,,,,1.929,2.022,"45.616, 5.144"
Île-de-France,Yvelines,78490 Méré,1.99,,1.167,,1.989,1.99,"48.801553211788004, 1.8208143438025"
Normandie,Eure,27500 Pont-Audemer,1.939,,0.998,1.037,1.899,1.969,"49.347, 0.523"
Auvergne-Rhône-Alpes,Rhône,69008 Lyon,1.915,,1.159,,1.887,1.962,"45.737, 4.869"
Auvergne-Rhône-Alpes,Loire,42500 Le Chambon-Feugerolles,1.967,1.999,,,,2.019,"45.39672290097, 4.3235422642679"
Grand Est,Moselle,57050 Metz,1.936,,1.069,,1.895,1.99,"49.13, 6.165"
Bourgogne-Franche-Comté,Saône-et-Loire,71600 Vitry-en-Charollais,1.905,1.935,0.999,,1.855,1.955,"46.464, 4.086"
Hauts-de-France,Nord,59430 Dunkerque,1.923,,,1.219,1.896,1.956,"51.023309839673, 2.3400536206785"
Nouvelle-Aquitaine,Gironde,33680 Lacanau,1.96,,1.04,,,2.02,"45.001960010000005, -1.20044403"
Hauts-de-France,Pas-de-Calais,62250 Offrethun,1.922,,0.994,,1.884,1.989,"50.785, 1.694"
Normandie,Calvados,14000 Caen,1.898,1.863,,,,1.894,"49.186, -0.381"
Occitanie,Lot,46600 Cressensac-Sarrazac,2.169,,,1.159,2.149,2.269,"45.032461104245996, 1.5248918369564999"
Bourgogne-Franche-Comté,Saône-et-Loire,71640 Mercurey,1.999,2.049,,,,2.089,"46.836, 4.718"
Grand Est,Marne,51400 Mourmelon-le-Grand,1.999,2.049,,,,2.099,"49.139, 4.366"
Bourgogne-Franche-Comté,Haute-Saône,70000 Vesoul,1.99,,,,1.99,1.99,"47.633, 6.159"
