Région,Département,cp_ville,Gazole_prix,SP95_prix,E85_prix,GPLc_prix,E10_prix,SP98_prix,geom
Grand Est,Haut-Rhin,68120 Pfastatt,1.919,1.899,1.029,,,,"47.772, 7.302"
Pays de la Loire,Maine-et-Loire,49290 Chalonnes-sur-Loire,1.919,,0.998,,1.859,1.919,"47.348, -0.761"
Bretagne,Morbihan,56550 Belz,1.852,,,,1.863,1.961,"47.674, -3.172"
Nouvelle-Aquitaine,Gironde,33370 Tresses,1.929,,0.994,0.909,1.858,1.965,"44.84, -0.492"
Provence-Alpes-Côte d'Azur,Var,83150 Bandol,1.929,,,,1.879,1.949,"43.153966638366, 5.7443576756247"
Normandie,Calvados,14700 Falaise,2.056,,,,2.079,2.173,"48.887, -0.191"
Provence-Alpes-Côte d'Azur,Var,83300 Draguignan,1.959,,1.019,,1.952,1.99,"43.529, 6.472"
Occitanie,Haute-Garonne,31220 Cazères,1.889,,,,1.899,1.964,"43.20779, 1.09067"
Île-de-France,Val-d'Oise,95270 Asnières-sur-Oise,1.967,1.967,,,,1.977,"49.137, 2.373"
Auvergne-Rhône-Alpes,Ardèche,7580 Saint-Jean-le-Centenier,1.999,,,,2.039,2.019,"44.584, 4.532"
Bourgogne-Franche-Comté,Jura,39800 Poligny,1.929,1.969,,,1.929,,"46.848, 5.697"
Occitanie,Haute-Garonne,31120 Portet-sur-Garonne,1.99,,0.994,0.949,1.98,1.99,"43.525, 1.399"
Hauts-de-France,Nord,59260 Lezennes,1.932,,0.994,,1.874,1.969,"50.616452685574004, 3.1189445142134"
Normandie,Calvados,14120 Mondeville,1.875,1.872,,,1.839,1.873,"49.163, -0.298"
Île-de-France,Hauts-de-Seine,92400 Courbevoie,1.99,,1.149,1.024,1.99,1.99,"48.902, 2.259"
Auvergne-Rhône-Alpes,Isère,38380 Saint-Laurent-du-Pont,1.989,,1.179,,2.024,2.093,"45.391, 5.739"
Occitanie,Pyrénées-Orientales,66000 Perpignan,1.905,,0.994,,1.882,1.957,"42.679, 2.852"
Bretagne,Côtes-d'Armor,22300 Lannion,1.935,,,,1.879,1.955,"48.745, -3.477"
Île-de-France,Seine-et-Marne,77170 Brie-Comte-Robert,1.99,,,0.88,1.99,1.99,"48.70075943685, 2.600879926279"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13270 Fos-sur-Mer,1.893,,,0.919,1.872,1.967,"43.471289006001, 4.906991525412"
Corse,Corse-du-Sud,20150 Ota,1.92,1.97,,,,,"42.262, 8.709"
Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,4200 Aubignosc,2.084,,,1.054,2.054,2.154,"44.133508652902, 5.9775342421699005"
Hauts-de-France,Pas-de-Calais,62270 Frévent,1.939,1.969,,,,1.999,"50.27748, 2.29229"
Grand Est,Meurthe-et-Moselle,54600 Villers-lès-Nancy,1.99,,0.994,,1.984,1.99,"48.67308, 6.15342"
Île-de-France,Yvelines,78630 Orgeval,1.98,,,,1.896,1.99,"48.92529, 1.99188"
Bourgogne-Franche-Comté,Côte-d'Or,21200 Beaune,1.989,,,1.099,1.929,2.049,"47.017, 4.836"
Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,4120 Castellane,2.035,,,,2.013,2.073,"43.851, 6.508"
Auvergne-Rhône-Alpes,Rhône,69651 Villefranche-sur-Saône,1.99,,0.994,,1.977,1.99,"45.979, 4.733"
Île-de-France,Yvelines,78280 Guyancourt,1.944,,0.994,,1.886,,"48.785, 2.06"
Bretagne,Finistère,29000 Quimper,1.99,,,,1.966,1.99,"47.992606927500006, -4.08351912843"
Grand Est,Bas-Rhin,67700 Saverne,,,,,1.879,1.959,"48.741, 7.376"
Bretagne,Finistère,29930 Pont-Aven,1.989,,,,1.959,1.999,"47.858, -3.75"
Bretagne,Ille-et-Vilaine,35200 Rennes,1.922,,0.994,,1.874,1.959,"48.0854836842, -1.69620913642"
Occitanie,Gard,30140 Anduze,1.909,1.919,,,,1.949,"44.051, 3.987"
Occitanie,Lot,46340 Salviac,1.97,,,,1.98,2.05,"44.681215894782, 1.2442146431766"
Bretagne,Côtes-d'Armor,22490 Plouër-sur-Rance,1.899,1.922,0.999,,,1.965,"48.5322674691, -2.00716761564"
Occitanie,Gard,30320 Marguerittes,1.949,1.949,0.999,,1.869,,"43.859, 4.433"
Occitanie,Ariège,9130 Le Fossat,1.96,1.94,,,,1.99,"43.171575521026, 1.4104768585827998"
Nouvelle-Aquitaine,Lot-et-Garonne,47600 Nérac,1.99,1.99,,,,,"44.133761619999994, 0.34581724"
Auvergne-Rhône-Alpes,Savoie,73110 Détrier,1.899,1.999,1.049,,1.939,,"45.44377, 6.09615"
Pays de la Loire,Loire-Atlantique,44300 Nantes,1.864,1.843,,0.888,1.832,,"47.257, -1.513"
Centre-Val de Loire,Loir-et-Cher,41300 Salbris,1.969,,,,,1.999,"47.42393, 2.05344"
Provence-Alpes-Côte d'Azur,Vaucluse,84200 Carpentras,,,,,,,"44.05653, 5.05803"
Grand Est,Haute-Marne,52140 Val-de-Meuse,1.979,,0.999,,1.899,1.989,"48.01, 5.483"
Provence-Alpes-Côte d'Azur,Vaucluse,84390 Sault,1.899,,0.998,,1.896,1.977,"44.1015, 5.41452"
Pays de la Loire,Sarthe,72470 Champagné,1.899,,,,1.896,1.963,"48.015893, 0.3315612"
Île-de-France,Seine-Saint-Denis,93700 Drancy,1.903,1.868,0.986,,1.836,1.894,"48.918, 2.418"
Auvergne-Rhône-Alpes,Isère,38200 Vienne,1.889,1.939,,,,1.979,"45.538, 4.874"
Nouvelle-Aquitaine,Gironde,33100 Bordeaux,1.933,,,,1.872,1.975,"44.84256, -0.542652"
Pays de la Loire,Maine-et-Loire,49400 Saumur,1.894,1.877,,,1.835,1.909,"47.264, -0.092"
Occitanie,Haute-Garonne,31670 Labège,1.858,1.79,0.969,,1.776,1.823,"43.551, 1.504"
Occitanie,Hérault,34340 Marseillan,1.864,1.904,,,1.874,1.964,"43.358, 3.513"
Auvergne-Rhône-Alpes,Ain,1140 Saint-Didier-sur-Chalaronne,1.909,,0.999,,1.869,,"46.18, 4.817"
Auvergne-Rhône-Alpes,Loire,42610 Saint-Romain-le-Puy,1.929,1.889,0.998,,1.869,1.949,"45.553883973637, 4.1205472294829"
Normandie,Eure,27140 Gisors,1.959,1.91,,,,1.936,"49.279, 1.787"
Centre-Val de Loire,Indre-et-Loire,37110 Villedômer,1.94,,,,1.895,1.988,"47.5836102961, 0.897356013533"
Île-de-France,Paris,75007 Paris,2.4,,,,,2.6,"48.853, 2.308"
Hauts-de-France,Aisne,2250 Marle,1.939,1.969,1.069,,,,"49.74284, 3.77337"
Occitanie,Tarn,81500 Lavaur,1.895,,0.998,,1.845,1.949,"43.70855, 1.81727"
Pays de la Loire,Loire-Atlantique,44100 Nantes,2.103,,,,1.969,2.091,"47.214, -1.586"
Île-de-France,Seine-et-Marne,77650 Longueville,1.979,,0.998,,1.929,2.009,"48.521, 3.233"
Île-de-France,Val-de-Marne,94300 Vincennes,,,,,,,"48.845, 2.433"
Hauts-de-France,Nord,59113 Seclin,1.899,,0.976,,1.822,1.895,"50.55, 3.053"
Corse,Corse-du-Sud,20100 Sartène,1.99,1.99,,,,,"41.621, 8.973"
Auvergne-Rhône-Alpes,Isère,38970 Corps,1.989,1.988,,,,,"44.817248642167, 5.948428225132"
Hauts-de-France,Somme,80480 Salouël,1.902,,,,1.826,,"49.871, 2.261"
Occitanie,Lozère,48500 La Canourgue,1.919,1.999,,,,2.039,"44.432, 3.214"
Île-de-France,Val-de-Marne,94340 Joinville-le-Pont,2.119,,,,2.089,2.219,"48.822, 2.465"
Occitanie,Gard,30380 Saint-Christol-lez-Alès,1.929,1.919,,,1.879,1.949,"44.097, 4.068"
Nouvelle-Aquitaine,Lot-et-Garonne,47130 Port-Sainte-Marie,1.944,1.949,0.999,,1.919,1.998,"44.252, 0.382"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13740 Le Rove,1.99,,,,1.982,1.99,"43.367, 5.244"
Bretagne,Côtes-d'Armor,22600 Loudéac,1.886,1.89,0.982,0.969,1.818,,"48.19337648347, -2.7574038780979997"
Nouvelle-Aquitaine,Charente-Maritime,17690 Angoulins,1.952,,1.189,,1.879,1.923,"46.102, -1.093"
Normandie,Eure,27100 Val-de-Reuil,1.943,,,,1.918,1.989,"49.27, 1.209"
Auvergne-Rhône-Alpes,Ain,1200 Valserhône,1.969,,,,1.979,2.059,"46.106, 5.823"
Hauts-de-France,Oise,60300 Senlis,1.96,,0.998,,1.906,,"49.221, 2.591"
Auvergne-Rhône-Alpes,Drôme,26220 Dieulefit,1.939,1.999,,,,2.049,"44.521, 5.056"
Pays de la Loire,Mayenne,53120 Gorron,1.889,1.886,0.999,0.959,,1.939,"48.41098, -0.80495"
Centre-Val de Loire,Cher,18600 Sancoins,1.979,2.049,,,,2.099,"46.836, 2.914"
Grand Est,Vosges,88230 Fraize,1.99,,,,1.99,,"48.185, 6.993"
Île-de-France,Seine-et-Marne,77100 Nanteuil-lès-Meaux,1.988,1.972,,,,2.0,"48.93756, 2.8801"
Bourgogne-Franche-Comté,Territoire de Belfort,90400 Andelnans,1.921,,1.034,0.949,1.884,1.965,"47.6, 6.862"
Bourgogne-Franche-Comté,Territoire de Belfort,90300 Offemont,1.909,1.939,,,1.869,,"47.659472600680004, 6.867185855783299"
Auvergne-Rhône-Alpes,Isère,38600 Fontaine,1.872,,,0.949,1.871,1.965,"45.197, 5.673"
Auvergne-Rhône-Alpes,Isère,38140 Rives,1.909,,,,1.912,2.002,"45.358, 5.493"
Bretagne,Côtes-d'Armor,22590 Pordic,1.899,,0.998,,1.885,1.979,"48.572, -2.822"
Centre-Val de Loire,Indre-et-Loire,37320 Cormery,1.979,,,,1.949,1.999,"47.257, 0.842"
Auvergne-Rhône-Alpes,Drôme,26600 Tain-l'Hermitage,1.905,,0.998,,1.849,1.959,"45.068632052999995, 4.86562184044"
Bretagne,Ille-et-Vilaine,35770 Vern-sur-Seiche,1.915,,,0.919,1.874,1.959,"48.055, -1.611"
Pays de la Loire,Maine-et-Loire,49450 Sèvremoine,1.899,1.918,,,1.888,,"47.096, -1.005"
Île-de-France,Val-d'Oise,95200 Sarcelles,1.959,,0.998,0.995,1.919,1.99,"48.98486690000001, 2.3735923000000003"
Nouvelle-Aquitaine,Gironde,33300 Bordeaux,1.883,1.881,,,1.814,,"44.863, -0.567"
Auvergne-Rhône-Alpes,Rhône,69400 Villefranche-sur-Saône,1.99,,,,1.99,,"45.979, 4.739"
Bretagne,Finistère,29200 Brest,1.915,,1.009,0.939,1.874,1.965,"48.41315, -4.48982"
Nouvelle-Aquitaine,Haute-Vienne,87100 Limoges,1.925,,,,1.919,1.995,"45.851, 1.253"
Bourgogne-Franche-Comté,Saône-et-Loire,71210 Torcy,1.883,,,,1.88,1.974,"46.779, 4.441"
Pays de la Loire,Vendée,85220 Coëx,1.899,,,,1.889,1.989,"46.706, -1.722"
Occitanie,Gers,32600 L'Isle-Jourdain,1.938,1.999,1.179,,,,"43.601, 1.069"
Nouvelle-Aquitaine,Gironde,33700 Mérignac,1.888,1.83,,,1.79,1.856,"44.83, -0.654"
Corse,Haute-Corse,20218 Morosaglia,1.968,1.968,,,,,"42.46274, 9.20667"
Grand Est,Bas-Rhin,67170 Brumath,1.925,,0.998,,1.875,1.959,"48.70928, 7.70777"
Auvergne-Rhône-Alpes,Haute-Loire,43100 Cohade,1.979,,,,1.88,,"45.322, 3.371"
Île-de-France,Val-d'Oise,95130 Franconville,1.908,1.863,0.957,,1.821,1.899,"48.989285938081, 2.2065467998684"
Normandie,Orne,61200 Écouché-les-Vallées,2.11,,1.26,1.06,2.12,2.22,"48.722216324002, -0.056921417848999"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13570 Barbentane,1.925,,,,1.949,1.999,"43.908, 4.773"
Bourgogne-Franche-Comté,Haute-Saône,70200 Lure,1.99,,,,1.917,1.99,"47.675, 6.521"
Bourgogne-Franche-Comté,Côte-d'Or,21400 Châtillon-sur-Seine,1.949,,0.998,,1.949,1.999,"47.867, 4.572"
Occitanie,Haute-Garonne,31200 Toulouse,1.915,,,,1.852,1.947,"43.615752278442, 1.4211219560111"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6110 Le Cannet,1.939,,1.139,,1.899,,"43.569435661899995, 6.995867615650001"
Bourgogne-Franche-Comté,Saône-et-Loire,71250 Sainte-Cécile,1.99,,,,1.987,1.99,"46.386225686799996, 4.61930855867"
Occitanie,Haute-Garonne,31260 Mane,1.899,,0.998,,1.889,1.979,"43.08871, 0.95132"
Nouvelle-Aquitaine,Haute-Vienne,87160 Saint-Sulpice-les-Feuilles,2.054,,,1.054,2.044,2.134,"46.313, 1.419"
Auvergne-Rhône-Alpes,Haute-Savoie,74440 Taninges,1.91,,,,1.899,1.999,"46.109, 6.582"
Grand Est,Ardennes,8130 Attigny,1.99,1.95,1.29,,,,"49.47872, 4.57662"
Occitanie,Gard,30400 Villeneuve-lès-Avignon,1.908,,0.994,,,1.987,"43.958, 4.778"
Île-de-France,Seine-Saint-Denis,93100 Montreuil,1.99,,1.099,,1.936,1.99,"48.86885, 2.47055"
Pays de la Loire,Sarthe,72200 La Flèche,1.901,,0.97,0.849,1.837,1.944,"47.701, -0.056"
Normandie,Eure,27310 Bosgouet,1.992,,1.3,1.057,1.99,2.065,"49.361, 0.86"
Nouvelle-Aquitaine,Gironde,33310 Lormont,1.873,1.838,0.912,,1.798,1.856,"44.865, -0.52"
Auvergne-Rhône-Alpes,Haute-Loire,43110 Aurec-sur-Loire,1.969,,,,1.959,2.049,"45.36955, 4.20235"
Nouvelle-Aquitaine,Corrèze,19290 Sornac,1.981,2.013,,,,,"45.661, 2.202"
Île-de-France,Val-d'Oise,95570 Attainville,2.239,,,1.099,2.159,2.279,"49.06, 2.348"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63490 Sauxillanges,1.965,1.999,,,,1.999,"45.550330010776, 3.3669437459243"
Bourgogne-Franche-Comté,Doubs,25680 Cuse-et-Adrisans,1.733,,,,1.898,1.99,"47.481, 6.381"
Île-de-France,Seine-et-Marne,77340 Émerainville,1.947,,1.039,,1.887,1.968,"48.816, 2.623"
Nouvelle-Aquitaine,Creuse,23400 Bourganeuf,1.967,1.949,,,,1.977,"45.95971, 1.75988"
Bourgogne-Franche-Comté,Jura,39210 Voiteur,1.979,,,,2.039,2.069,"46.757, 5.614"
Occitanie,Haute-Garonne,31000 Toulouse,1.919,,,,1.885,1.965,"43.626, 1.459"
Occitanie,Tarn-et-Garonne,82000 Montauban,1.895,,0.974,0.959,1.848,1.95,"44.033, 1.375"
Grand Est,Moselle,57525 Talange,1.932,,,,1.889,1.978,"49.241211869693, 6.1720329781475"
Grand Est,Bas-Rhin,67220 Villé,1.99,,,,1.96,1.99,"48.340376299999996, 7.313382900000001"
Île-de-France,Val-d'Oise,95420 Charmont,1.941,,0.994,,1.887,,"49.13514, 1.78964"
Centre-Val de Loire,Cher,18200 Saint-Amand-Montrond,1.99,1.99,,,,,"46.726, 2.503"
Auvergne-Rhône-Alpes,Loire,42720 Pouilly-sous-Charlieu,2.049,2.129,,,,2.209,"46.139, 4.108"
Bourgogne-Franche-Comté,Nièvre,58320 Pougues-les-Eaux,1.989,1.989,,,,1.999,"47.07736, 3.09879"
Occitanie,Pyrénées-Orientales,66420 Le Barcarès,1.919,,1.091,,1.95,1.999,"42.824, 3.035"
Centre-Val de Loire,Eure-et-Loir,28000 Chartres,1.99,,,,1.975,1.99,"48.436, 1.52"
Hauts-de-France,Somme,80420 Flixecourt,1.925,,0.998,,1.898,1.97,"50.011, 2.094"
Bretagne,Morbihan,56890 Saint-Avé,1.919,,,,1.859,1.979,"47.681471359867, -2.7373650772103"
Bourgogne-Franche-Comté,Nièvre,58500 Clamecy,1.979,2.029,,,,2.089,"47.457, 3.509"
Île-de-France,Yvelines,78710 Rosny-sur-Seine,1.969,,0.989,,1.949,2.039,"48.9923, 1.63231"
Centre-Val de Loire,Indre,36200 Saint-Marcel,1.959,,,,1.949,1.999,"46.604, 1.508"
Île-de-France,Hauts-de-Seine,92700 Colombes,2.149,,,,2.089,2.209,"48.928, 2.271"
Île-de-France,Val-d'Oise,95600 Eaubonne,1.99,,,,1.99,1.99,"48.978, 2.291"
Pays de la Loire,Maine-et-Loire,49700 Doué-en-Anjou,1.929,,,0.949,1.899,1.979,"47.19, -0.291"
Nouvelle-Aquitaine,Gironde,33450 Montussan,1.989,,1.099,,1.949,,"44.874, -0.43"
Occitanie,Pyrénées-Orientales,66740 Laroque-des-Albères,1.879,1.899,,,1.859,1.939,"42.5479340515, 2.94103392299"
Bourgogne-Franche-Comté,Doubs,25500 Morteau,1.939,1.929,0.998,,1.889,,"47.056, 6.617"
Corse,Haute-Corse,20200 San-Martino-di-Lota,1.99,1.99,,,,,"42.728585259999996, 9.45947796"
Pays de la Loire,Vendée,85800 Saint-Gilles-Croix-de-Vie,1.864,,,,1.802,1.883,"46.694, -1.914"
Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,4200 Peipin,1.969,,0.998,,1.909,1.979,"44.14295, 5.95926"
Centre-Val de Loire,Indre,36700 Châtillon-sur-Indre,1.99,,,,1.99,1.99,"46.991, 1.167"
Grand Est,Marne,51100 Reims,1.99,,0.994,,1.976,1.99,"49.275, 4.017"
Grand Est,Ardennes,8700 Nouzonville,1.97,1.975,,,,1.999,"49.81889, 4.74094"
Occitanie,Gard,30500 Saint-Ambroix,1.95,,,,1.879,1.978,"44.255, 4.203"
Corse,Corse-du-Sud,20111 Casaglione,1.96,1.98,,,,,"42.062, 8.741"
Pays de la Loire,Loire-Atlantique,44300 Nantes,,,,,,,"47.21838025, -1.5543887959576"
Bourgogne-Franche-Comté,Doubs,25200 Montbéliard,1.936,,0.994,,1.871,1.974,"47.509, 6.808"
Hauts-de-France,Oise,60440 Nanteuil-le-Haudouin,1.939,1.949,,,1.919,1.979,"49.136, 2.801"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13100 Aix-en-Provence,1.889,,1.109,,1.86,1.957,"43.520864167099994, 5.45900219773"
Pays de la Loire,Loire-Atlantique,44880 Sautron,1.897,1.899,0.997,,,,"47.26, -1.655"
Occitanie,Ariège,9350 Les Bordes-sur-Arize,1.93,1.99,,,,1.999,"43.108130777057994, 1.37493244737"
Hauts-de-France,Oise,60560 Orry-la-Ville,1.999,,,,1.989,2.049,"49.131, 2.521"
Île-de-France,Yvelines,78370 Plaisir,1.97,,,,1.898,1.98,"48.827, 1.948"
Auvergne-Rhône-Alpes,Rhône,69210 L'Arbresle,1.899,,,,1.889,1.999,"45.823, 4.606"
Hauts-de-France,Somme,80200 Péronne,1.928,,0.998,,1.908,1.993,"49.939, 2.926"
Nouvelle-Aquitaine,Gironde,33240 Saint-André-de-Cubzac,1.99,,1.249,,1.99,1.99,"44.9790295481, -0.430828070241"
Nouvelle-Aquitaine,Haute-Vienne,87220 Boisseuil,1.851,1.874,,,1.818,1.889,"45.78, 1.306"
Normandie,Orne,61110 Rémalard en Perche,1.899,1.919,,,,1.939,"48.424, 0.772"
Bourgogne-Franche-Comté,Côte-d'Or,21000 Dijon,1.941,1.903,,,1.861,1.94,"47.31812, 5.00275"
Auvergne-Rhône-Alpes,Rhône,69570 Dardilly,1.889,1.89,,0.929,1.824,1.915,"45.821, 4.766"
Normandie,Orne,61230 Gacé,1.99,,,,1.962,1.99,"48.784, 0.295"
Auvergne-Rhône-Alpes,Rhône,69540 Irigny,1.94,1.879,,,,1.899,"45.688, 4.825"
Île-de-France,Seine-Saint-Denis,93150 Le Blanc-Mesnil,1.99,,1.099,,1.99,,"48.935, 2.473"
Bourgogne-Franche-Comté,Jura,39460 Foncine-le-Haut,1.949,,1.159,,1.979,2.059,"46.658, 6.074"
Pays de la Loire,Vendée,85130 Chanverrie,1.92,1.96,,,,2.02,"46.959, -1.0"
Île-de-France,Seine-Saint-Denis,93500 Pantin,1.964,,,,1.911,1.983,"48.9, 2.411"
Occitanie,Tarn-et-Garonne,82160 Caylus,1.92,1.98,,,,2.01,"44.2314, 1.75828"
Bourgogne-Franche-Comté,Haute-Saône,70100 Gray,1.949,,,,,,"47.438, 5.606"
Île-de-France,Val-d'Oise,95100 Argenteuil,2.119,,,,2.029,2.149,"48.95679, 2.2839"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13630 Eyragues,1.919,,,,1.979,2.029,"43.836698596221005, 4.8368302888551"
Auvergne-Rhône-Alpes,Isère,38500 Voiron,1.946,,,,1.89,1.97,"45.36, 5.6"
Grand Est,Aube,10200 Bar-sur-Aube,1.939,1.999,,,,2.049,"48.228, 4.71"
Bretagne,Finistère,29430 Plouescat,1.899,1.929,,,1.893,1.959,"48.651, -4.185"
Occitanie,Gard,30340 Méjannes-lès-Alès,1.979,,1.129,,1.999,,"44.1, 4.138"
Centre-Val de Loire,Indre-et-Loire,37100 Tours,1.891,1.919,,,,1.969,"47.425, 0.682"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6500 Menton,1.999,2.005,0.998,,1.999,2.025,"43.805, 7.487"
Bretagne,Ille-et-Vilaine,35135 Chantepie,1.955,1.945,,,,,"48.08735, -1.62186"
Nouvelle-Aquitaine,Gironde,33580 Monségur,1.969,1.989,,,,1.999,"44.6499822, 0.08761100000000001"
Bretagne,Côtes-d'Armor,22140 Bégard,1.929,,,,1.869,1.949,"48.623, -3.296"
Auvergne-Rhône-Alpes,Ardèche,7130 Cornas,1.99,1.99,,,,1.99,"44.958, 4.847"
Auvergne-Rhône-Alpes,Allier,3000 Moulins,1.928,,0.999,,1.869,1.996,"46.562, 3.32"
Centre-Val de Loire,Eure-et-Loir,28310 Janville-en-Beauce,1.99,1.99,,,,,"48.19849, 1.889"
Provence-Alpes-Côte d'Azur,Var,83590 Gonfaron,1.919,,0.999,,1.899,1.999,"43.316, 6.275"
Nouvelle-Aquitaine,Gironde,33820 Étauliers,1.889,1.909,,,1.869,,"45.227, -0.573"
Bretagne,Côtes-d'Armor,22500 Paimpol,1.9,1.862,,,,1.883,"48.773, -3.039"
Pays de la Loire,Sarthe,72300 Solesmes,1.99,,,,1.976,1.99,"47.835, -0.298"
Occitanie,Haute-Garonne,31700 Blagnac,1.879,,0.967,,1.807,1.902,"43.647, 1.368"
Nouvelle-Aquitaine,Gironde,33620 Laruscade,1.939,1.939,,,,1.999,"45.107, -0.341"
Nouvelle-Aquitaine,Charente-Maritime,17000 La Rochelle,1.959,,,,1.909,2.009,"46.162, -1.203"
Nouvelle-Aquitaine,Dordogne,24160 Saint-Martial-d'Albarède,1.909,,,,1.873,1.964,"45.33308, 1.04339"
Hauts-de-France,Nord,59246 Mons-en-Pévèle,1.949,1.974,,,,1.998,"50.48, 3.103"
Auvergne-Rhône-Alpes,Rhône,69700 Givors,1.87,1.841,,,1.808,,"45.586, 4.755"
Grand Est,Moselle,57365 Ennery,1.979,1.978,,,,2.004,"49.22, 6.213"
Île-de-France,Seine-et-Marne,77100 Meaux,1.909,,0.958,,1.822,1.9,"48.95848, 2.9173"
Bourgogne-Franche-Comté,Jura,39100 Choisey,1.899,,,0.999,1.939,2.009,"47.06438, 5.45483"
Provence-Alpes-Côte d'Azur,Vaucluse,84100 Orange,1.879,,0.955,,1.826,1.919,"44.12, 4.84"
Normandie,Eure,27800 Brionne,1.995,2.075,,,,2.095,"49.199, 0.716"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13127 Vitrolles,1.919,,,,1.889,2.009,"43.446, 5.247"
Nouvelle-Aquitaine,Charente,16230 Mansle,1.976,,1.269,,1.903,1.949,"45.873, 0.173"
Occitanie,Hérault,34070 Montpellier,1.871,,,0.989,1.865,1.936,"43.587, 3.889"
Bretagne,Morbihan,56600 Lanester,1.907,,,,1.805,1.925,"47.765, -3.348"
Corse,Corse-du-Sud,20145 Sari-Solenzara,1.94,1.97,,,,,"41.8578864, 9.3642222"
Auvergne-Rhône-Alpes,Savoie,73870 Saint-Julien-Mont-Denis,2.049,,,,2.124,2.174,"45.245935454489, 6.4243876383603"
Pays de la Loire,Mayenne,53190 Fougerolles-du-Plessis,1.908,1.934,,,1.888,,"48.475, -0.981"
Nouvelle-Aquitaine,Vienne,86500 Montmorillon,1.88,,,,1.882,1.99,"46.431, 0.884"
Pays de la Loire,Maine-et-Loire,49122 Bégrolles-en-Mauges,1.949,1.989,,,,,"47.132, -0.943"
Île-de-France,Hauts-de-Seine,92000 Nanterre,2.089,,,,2.019,2.139,"48.886, 2.222"
Auvergne-Rhône-Alpes,Allier,3600 Commentry,1.99,,0.994,,1.99,1.99,"46.289, 2.744"
Auvergne-Rhône-Alpes,Isère,38520 Le Bourg-d'Oisans,1.99,,,,1.99,1.99,"45.067, 6.022"
Nouvelle-Aquitaine,Corrèze,19800 Vitrac-sur-Montane,1.99,,,1.054,1.99,1.99,"45.3594571, 1.9372625"
Auvergne-Rhône-Alpes,Haute-Loire,43100 Brioude,1.989,,,,1.969,2.049,"45.28982, 3.38717"
Île-de-France,Val-de-Marne,94000 Créteil,1.947,,1.089,,1.891,1.986,"48.78292, 2.4467"
Centre-Val de Loire,Loiret,45170 Neuville-aux-Bois,1.895,,0.978,,1.876,1.928,"48.071, 2.058"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63960 Veyre-Monton,1.909,,1.099,,1.914,,"45.671, 3.172"
Nouvelle-Aquitaine,Gironde,33700 Mérignac,1.919,,,,1.889,1.961,"44.834, -0.617"
Bretagne,Ille-et-Vilaine,35480 Guipry-Messac,1.889,1.875,,,,1.927,"47.82082, -1.80959"
Normandie,Manche,50170 Pontorson,1.99,,,,1.99,1.99,"48.553875480571, -1.5007932447853998"
Occitanie,Gers,32190 Dému,1.99,,,,1.966,1.99,"43.76505, 0.16781"
Auvergne-Rhône-Alpes,Cantal,15100 Saint-Flour,1.939,1.979,1.14,,,,"45.038, 3.087"
Occitanie,Pyrénées-Orientales,66700 Argelès-sur-Mer,1.863,1.895,,,1.809,,"42.557, 3.01"
Nouvelle-Aquitaine,Gironde,33400 Talence,1.919,1.908,0.998,,1.872,,"44.807002493012, -0.57336978244788"
Bourgogne-Franche-Comté,Côte-d'Or,21000 Dijon,1.999,2.049,1.049,,,,"47.2985, 5.07871"
Corse,Haute-Corse,20218 Morosaglia,1.967,1.968,,,,,"42.467, 9.209"
Auvergne-Rhône-Alpes,Haute-Savoie,74330 Sillingy,2.07,,,,2.02,,"45.948994988500004, 6.04605205671"
Occitanie,Pyrénées-Orientales,66000 Perpignan,1.99,,,,1.99,,"42.692, 2.842"
Bretagne,Finistère,29600 Saint-Martin-des-Champs,1.99,,,,1.972,,"48.581, -3.864"
Normandie,Eure,27350 Routot,1.989,2.009,,,,2.039,"49.3786523137, 0.731592864799"
Grand Est,Bas-Rhin,67730 Châtenois,1.99,,,,1.948,1.99,"48.28, 7.389"
Bretagne,Finistère,29150 Châteaulin,1.939,,,,1.879,1.949,"48.196, -4.091"
Hauts-de-France,Pas-de-Calais,62280 Saint-Martin-Boulogne,1.913,,,0.965,1.875,1.955,"50.733, 1.669"
Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,4160 Château-Arnoux-Saint-Auban,1.948,,0.994,0.999,1.872,1.99,"44.088, 6.009"
Bretagne,Ille-et-Vilaine,35600 Redon,1.99,,,,1.99,1.99,"47.644, -2.092"
Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,4400 Barcelonnette,1.969,,,,1.997,2.079,"44.385701619100004, 6.65122661903"
Auvergne-Rhône-Alpes,Allier,3400 Yzeure,1.919,1.959,,,,1.999,"46.5666939, 3.3547122148461"
